0.000326029,-0.00267988,0.00454923,-0.00260356,-0.0016908,-0.0016908,-0.00260356,0.00454923,-0.00267988,0.000326029
0.175966,0.16805,0.175481,0.172382,0.173209,0.173209,0.172382,0.175481,0.16805,0.175966
0.206408,0.187571,0.196539,0.200411,0.195407,0.195407,0.200411,0.196539,0.187571,0.206408
0.258379,0.231173,0.236158,0.249615,0.23817,0.23817,0.249615,0.236158,0.231173,0.258379
0.239231,0.201152,0.207986,0.22208,0.219093,0.219093,0.22208,0.207986,0.201152,0.239231
0.019809,-0.0200473,-0.0115863,-0.00456217,-0.00396988,-0.00396988,-0.00456217,-0.0115863,-0.0200473,0.019809
0.0168166,-0.0218496,-0.0131554,-0.00876443,-0.00485543,-0.00485543,-0.00876443,-0.0131554,-0.0218496,0.0168166
0.0112164,-0.0156128,-0.00775097,-0.00937414,-0.00945273,-0.00945273,-0.00937414,-0.00775097,-0.0156128,0.0112164
0.00405966,-0.0055327,-0.00581339,-0.00769194,-0.00980346,-0.00980346,-0.00769194,-0.00581339,-0.0055327,0.00405966
-0.0015988,-0.00276354,-0.00789516,-0.00315336,-0.00648922,-0.00648922,-0.00315336,-0.00789516,-0.00276354,-0.0015988
